Times,Seu time já foi campeão brasileiro?,Já foi campeão mais de uma vez?,Já foi campeão da Copa do Brasil?,Já foi campeão da Copa Libertadores?,Já foi campeão da Copa Libertadores mais de uma vez?,Já foi campeão mundial de clubes?,Já foi campeão mundial mais de uma vez?,Já foi rebaixado para a Série B?,Já foi rebaixado mais de uma vez?,Já foi campeão da Lampions League?,Já foi finalista da Copa Sulamericana?,Já foi patrocinado pela Parmalat?
Palmeiras,1,1,1,1,1,0,0,1,1,0,0,1
Grêmio,1,1,1,1,1,1,0,1,1,0,0,0
Flamengo,1,1,1,1,1,1,0,0,0,0,1,0
Atlético Mineiro,1,1,1,1,0,0,0,1,0,0,0,0
Botafogo,1,1,0,0,0,0,0,1,1,0,0,0
RB Bragantino,0,0,0,0,0,0,0,1,1,0,1,0
Fluminense,1,1,1,1,0,0,0,1,1,0,1,0
Athletico Paranaense,1,0,1,0,0,0,0,1,1,0,1,0
Internacional,1,1,1,1,1,1,0,1,0,0,1,0
Fortaleza,0,0,0,0,0,0,0,1,1,1,1,0
São Paulo,1,1,1,1,1,1,1,0,0,0,1,0
Cuiabá,0,0,0,0,0,0,0,0,0,0,0,0
Corinthians,1,1,1,1,0,1,1,1,0,0,0,0
Cruzeiro,1,1,1,1,1,0,0,1,0,0,0,0
Vasco,1,1,1,1,0,0,0,1,1,0,0,0
Bahia,1,1,0,0,0,0,0,1,1,1,0,0
Vitória,0,0,0,0,0,0,0,1,1,1,0,0
Juventude,0,0,1,0,0,0,0,1,1,0,0,1
Criciúma,0,0,1,0,0,0,0,1,1,0,0,0
Atlético Goianiense,0,0,0,0,0,0,0,1,1,0,0,0
